systime, frame, from, to, action_type, action_name, args
1691268795.121, 530, "system", "agent", "status", "spawn", 289
1691268797.463, 586, "system", "agent", "status", "start_record", "NONE"
1691268797.574, 593, "planner", "agent", "status", "at_junction", 1
1691268831.646, 963, "co_wizard", "agent", "decision", "park_off", "none"
1691268831.700, 964, "system", "dorothy", "system", "dorothy:co_wizard:parkoff"
1691268836.192, 1010, "co_wizard", "agent", "decision", "speed_up", 5
1691268839.540, 1044, "co_wizard", "agent", "decision", "speed_down", -5
1691268840.846, 1057, "co_wizard", "agent", "decision", "speed_up", 5
1691268844.485, 1095, "co_wizard", "agent", "decision", "lane_change_right"
1691268847.207, 1125, "co_wizard", "agent", "decision", "lane_change_left"
1691268851.882, 1174, "co_wizard", "agent", "decision", "speed_up", 5
1691268853.431, 1189, "co_wizard", "agent", "decision", "speed_down", -5
1691268854.500, 1200, "co_wizard", "agent", "decision", "lane_change_left"
1691268858.385, 1236, "co_wizard", "agent", "plan", "next_road", 703
1691268858.577, 1239, "planner", "agent", "status", "at_junction", 703
